Time: 2025-07-30 06:22:52.059819, Event: Scene Changed Significantly
Time: 2025-07-30 06:22:56.877549, Event: Hands Out of View
Time: 2025-07-30 06:23:01.794565, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:06.092178, Event: Chest Out of View
Time: 2025-07-30 06:23:10.509222, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:14.850023, Event: Hands Out of View
Time: 2025-07-30 06:23:19.507530, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:24.124325, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:28.721341, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:33.595557, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:38.297365, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:43.071071, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:48.821775, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:53.427826, Event: Scene Changed Significantly
Time: 2025-07-30 06:23:57.942508, Event: Scene Changed Significantly
